gloss,split,video_id
110,Patience,train,040_005_003
111,Call,train,017_010_002
112,Realize,train,062_001_002
113,Food,train,023_008_001
114,Catch,train,055_010_004
115,Breakfast,train,031_007_004
116,Hungry,train,033_003_001
117,Red2,train,008_006_005
118,Catch,train,055_005_002
119,Copy,train,060_002_001
120,Patience,train,040_009_005
121,Red,train,002_009_002
122,Light-blue,train,006_006_002
123,Mock,train,029_004_001
124,Enemy,train,010_002_002
125,Dance,train,057_010_001
126,Barbecue,train,045_009_001
127,Country,train,026_008_002
128,Bathe,train,058_010_002
129,Copy,train,060_008_002
130,Dance,train,057_006_005
131,Away,train,013_008_005
132,Son,train,011_001_002
133,Find,train,064_006_002
134,Barbecue,train,045_005_004
135,Catch,train,055_007_005
136,Help,train,056_010_003
137,Give,train,063_004_001
138,Country,train,026_006_005
139,Argentina,train,024_010_002
140,Mock,train,029_007_003
141,Last name,train,027_007_004
142,Yogurt,train,049_010_002
143,Red2,train,008_002_005
144,Bitter,train,019_001_002
145,Photo,train,032_004_002
146,Man,train,012_001_002
147,Man,train,012_008_004
148,Rice,train,044_005_001
149,Light-blue,train,006_008_003
150,Name,train,039_006_001
151,Buy,train,059_004_005
152,To land,train,054_005_002
153,Candy,train,046_005_003
154,Opaque,train,001_007_003
155,Born,train,015_002_001
156,Bathe,train,058_008_003
157,Music,train,036_005_002
158,Name,train,039_001_003
159,Bitter,train,019_006_003
160,Dance,train,057_001_004
161,Birthday,train,030_002_003
162,Candy,train,046_008_001
163,Breakfast,train,031_003_004
164,Give,train,063_010_005
165,Find,train,064_009_001
166,Breakfast,train,031_004_001
167,Call,train,017_009_005
168,Realize,train,062_003_003
169,Skimmer,train,018_008_002
170,Sweet milk,train,020_008_002
171,Trap,train,043_002_005
172,Find,train,064_010_004
173,Colors,train,007_010_001
174,Find,train,064_005_005
175,Accept,train,050_003_005
176,Shut down,train,052_007_001
177,Colors,train,007_007_004
178,Spaghetti,train,048_005_001
179,Shut down,train,052_010_005
180,Enemy,train,010_008_003
181,Spaghetti,train,048_007_003
182,Yogurt,train,049_004_002
183,Thanks,train,051_007_002
184,Light-blue,train,006_007_004
185,Last name,train,027_009_004
186,Yellow,train,004_003_005
187,Realize,train,062_002_005
188,Urugauy,train,025_002_004
189,Women,train,009_008_003
190,Accept,train,050_009_001
191,Find,train,064_010_002
192,Red,train,002_001_001
193,Realize,train,062_005_003
194,Women,train,009_004_002
195,Green,train,003_002_002
196,Run,train,061_005_004
197,Learn,train,016_009_002
198,Chewing-gum,train,047_001_002
199,Water,train,022_009_002
200,Trap,train,043_003_005
201,Map,train,034_010_004
202,Hungry,train,033_002_003
203,Chewing-gum,train,047_010_002
204,Last name,train,027_006_004
205,Sweet milk,train,020_004_001
206,Sweet milk,train,020_009_002
207,Map,train,034_006_001
208,Red,train,002_007_002
209,Light-blue,train,006_004_005
210,Colors,train,007_003_002
211,Coin,train,035_005_005
212,Yellow,train,004_004_005
213,Born,train,015_004_005
214,Spaghetti,train,048_008_005
215,Yellow,train,004_002_001
216,Realize,train,062_010_002
217,Trap,train,043_007_004
218,Give,train,063_009_004
219,Green,train,003_009_005
220,Find,train,064_008_003
221,Opaque,train,001_005_005
222,Help,train,056_004_005
223,Catch,train,055_009_004
224,Yellow,train,004_003_004
225,Map,train,034_007_004
226,Birthday,train,030_002_005
227,Opaque,train,001_009_003
228,Music,train,036_004_001
229,Bathe,train,058_002_005
230,Candy,train,046_009_004
231,Shut down,train,052_004_004
232,Realize,train,062_001_005
233,Copy,train,060_004_001
234,Drawer,train,014_005_003
235,Birthday,train,030_007_002
236,Colors,train,007_006_001
237,Milk,train,021_005_004
238,Barbecue,train,045_010_004
239,Accept,train,050_009_002
240,Find,train,064_003_003
241,Hungry,train,033_001_005
242,Bathe,train,058_006_005
243,Urugauy,train,025_005_005
244,Name,train,039_008_001
245,Rice,train,044_001_004
247,Son,train,011_003_004
248,Man,train,012_004_004
249,Ship,train,037_009_002
250,Yellow,train,004_004_001
251,Milk,train,021_004_002
252,Copy,train,060_005_004
253,Son,train,011_004_001
254,Accept,train,050_008_001
255,Enemy,train,010_010_004
256,Red,train,002_009_004
257,Bright,train,005_005_003
258,Ship,train,037_007_003
259,Perfume,train,041_010_005
260,Mock,train,029_004_005
261,Buy,train,059_009_003
262,Rice,train,044_010_003
263,Food,train,023_004_005
264,Rice,train,044_008_002
265,Ship,train,037_003_005
266,Argentina,train,024_006_004
267,Enemy,train,010_001_001
268,Opaque,train,001_005_002
269,Women,train,009_007_004
270,Bright,train,005_001_002
271,Chewing-gum,train,047_010_003
272,Candy,train,046_003_004
273,Map,train,034_008_001
274,Dance,train,057_007_003
275,Opaque,train,001_004_004
276,Learn,train,016_002_002
277,Realize,train,062_001_004
278,Green,train,003_007_002
279,Opaque,train,001_005_001
280,Enemy,train,010_002_004
281,Away,train,013_006_002
282,To land,train,054_005_004
283,Son,train,011_009_003
284,Barbecue,train,045_006_001
285,Red,train,002_007_005
286,Light-blue,train,006_001_001
287,Son,train,011_009_005
288,Ship,train,037_010_005
289,Country,train,026_010_003
290,Women,train,009_002_004
291,Learn,train,016_001_005
292,Thanks,train,051_005_002
293,Learn,train,016_001_001
294,Perfume,train,041_002_002
295,Trap,train,043_009_001
296,Call,train,017_006_004
297,Appear,train,053_005_003
298,Yogurt,train,049_002_001
299,Son,train,011_003_003
300,Bitter,train,019_006_005
301,Give,train,063_009_003
302,Photo,train,032_006_005
303,Bathe,train,058_005_005
304,Argentina,train,024_006_002
305,Map,train,034_002_001
306,Enemy,train,010_007_001
307,Give,train,063_006_001
308,Patience,train,040_008_005
309,Sweet milk,train,020_007_005
310,Candy,train,046_001_001
311,Buy,train,059_006_003
312,Red2,train,008_010_003
313,Bathe,train,058_009_005
314,Catch,train,055_003_003
315,Yogurt,train,049_002_002
316,Run,train,061_003_001
317,Bitter,train,019_008_001
318,To land,train,054_004_004
319,Coin,train,035_007_001
320,To land,train,054_008_001
321,Accept,train,050_001_001
322,Barbecue,train,045_002_002
323,Milk,train,021_004_005
324,Urugauy,train,025_006_004
325,Spaghetti,train,048_005_004
326,Map,train,034_008_004
327,Water,train,022_004_001
328,Red2,train,008_001_004
329,Last name,train,027_003_002
331,Birthday,train,030_010_002
332,Catch,train,055_009_001
333,Last name,train,027_003_005
335,Buy,train,059_006_004
336,To land,train,054_007_004
337,Bright,train,005_004_003
338,Coin,train,035_002_005
339,Mock,train,029_003_003
340,Yellow,train,004_006_004
341,Barbecue,train,045_006_005
342,Birthday,train,030_001_004
343,Light-blue,train,006_009_004
344,Country,train,026_008_004
345,Name,train,039_005_003
346,Shut down,train,052_005_001
347,Spaghetti,train,048_001_003
348,Opaque,train,001_008_005
349,Food,train,023_005_004
350,Yellow,train,004_005_001
351,Away,train,013_007_004
352,Learn,train,016_003_004
353,Spaghetti,train,048_006_003
354,Birthday,train,030_004_002
355,Spaghetti,train,048_005_003
356,Women,train,009_001_002
357,Yogurt,train,049_004_003
358,Name,train,039_002_003
359,Trap,train,043_007_002
360,Name,train,039_005_005
361,Food,train,023_007_003
362,Coin,train,035_005_004
363,Chewing-gum,train,047_002_002
364,Find,train,064_009_004
365,Patience,train,040_001_005
366,Sweet milk,train,020_005_005
367,Argentina,train,024_007_002
368,Opaque,train,001_007_004
369,Breakfast,train,031_006_003
370,Food,train,023_008_003
371,Appear,train,053_004_004
372,Appear,train,053_010_004
373,Sweet milk,train,020_008_005
374,Candy,train,046_006_002
375,Music,train,036_004_002
376,To land,train,054_008_003
377,Name,train,039_007_003
378,Appear,train,053_008_005
379,Away,train,013_004_003
380,Food,train,023_010_002
381,Opaque,train,001_010_003
382,Patience,train,040_009_001
383,Call,train,017_003_001
384,Chewing-gum,train,047_006_004
385,Red2,train,008_009_001
386,Argentina,train,024_003_002
387,Barbecue,train,045_006_002
388,Son,train,011_010_001
389,Shut down,train,052_004_005
390,Food,train,023_009_002
391,Mock,train,029_008_003
392,Realize,train,062_004_002
393,Urugauy,train,025_008_004
394,Water,train,022_006_001
395,Help,train,056_004_002
396,Find,train,064_010_005
397,Chewing-gum,train,047_001_004
398,Yellow,train,004_007_001
399,Map,train,034_007_001
400,Spaghetti,train,048_008_002
401,Breakfast,train,031_008_005
402,Dance,train,057_004_003
403,Coin,train,035_003_005
404,Sweet milk,train,020_008_003
405,Dance,train,057_008_003
406,Patience,train,040_010_005
407,Yogurt,train,049_004_001
408,Map,train,034_010_005
409,Buy,train,059_004_002
410,Bitter,train,019_009_001
411,Man,train,012_006_001
412,Opaque,train,001_003_004
413,Women,train,009_006_005
414,Man,train,012_003_001
415,Colors,train,007_008_001
416,Yogurt,train,049_006_005
417,Mock,train,029_001_002
418,To land,train,054_006_002
419,Country,train,026_004_004
420,Country,train,026_009_002
421,Find,train,064_003_001
422,Find,train,064_010_001
423,Water,train,022_004_005
424,Perfume,train,041_005_001
425,Trap,train,043_006_001
426,Patience,train,040_005_005
427,Last name,train,027_008_005
428,Where,train,028_005_002
429,Photo,train,032_001_005
430,Music,train,036_008_001
431,Bitter,train,019_001_004
432,Bathe,train,058_010_003
433,Sweet milk,train,020_002_003
434,Deaf,train,042_007_001
435,Food,train,023_005_003
436,Rice,train,044_004_005
437,Copy,train,060_007_004
438,Coin,train,035_006_002
439,Spaghetti,train,048_009_001
440,Drawer,train,014_007_004
441,Light-blue,train,006_006_005
442,Mock,train,029_007_002
443,Colors,train,007_001_004
444,Where,train,028_003_002
445,Catch,train,055_009_002
446,Help,train,056_001_003
447,Run,train,061_009_005
448,Music,train,036_007_003
449,Opaque,train,001_007_001
450,Accept,train,050_002_001
451,Chewing-gum,train,047_004_001
452,Food,train,023_010_005
453,Run,train,061_001_005
454,Birthday,train,030_004_001
455,Yogurt,train,049_003_001
456,Trap,train,043_003_004
457,Enemy,train,010_006_003
458,Candy,train,046_009_002
459,Women,train,009_010_002
460,Urugauy,train,025_007_002
461,Music,train,036_002_003
462,Water,train,022_010_003
463,Shut down,train,052_006_004
464,Appear,train,053_001_005
465,Milk,train,021_009_002
466,Realize,train,062_007_002
467,Call,train,017_010_005
468,Shut down,train,052_002_002
469,Birthday,train,030_005_001
470,Urugauy,train,025_008_005
471,Patience,train,040_009_004
472,Yellow,train,004_010_002
473,Urugauy,train,025_004_005
474,Perfume,train,041_002_004
475,Spaghetti,train,048_007_005
476,Candy,train,046_007_002
477,Trap,train,043_002_004
478,Dance,train,057_009_004
479,Water,train,022_003_004
480,Learn,train,016_003_002
481,Candy,train,046_003_002
482,Photo,train,032_004_004
484,Find,train,064_002_005
485,Women,train,009_010_001
486,Milk,train,021_007_005
487,Perfume,train,041_007_001
488,Copy,train,060_003_002
489,Where,train,028_005_004
490,Buy,train,059_006_002
491,Last name,train,027_010_005
492,Perfume,train,041_009_002
493,Green,train,003_005_002
494,Rice,train,044_003_002
495,Give,train,063_001_005
496,Hungry,train,033_009_002
497,Food,train,023_003_001
498,Green,train,003_009_003
499,Thanks,train,051_007_004
500,Water,train,022_002_005
501,Learn,train,016_005_002
502,Ship,train,037_008_005
503,Skimmer,train,018_005_002
504,Skimmer,train,018_007_003
505,Women,train,009_001_003
506,Coin,train,035_009_005
507,Realize,train,062_004_005
508,Help,train,056_010_004
509,Hungry,train,033_009_005
510,Water,train,022_010_004
511,Music,train,036_006_001
512,Milk,train,021_008_004
513,Country,train,026_003_003
514,Realize,train,062_008_005
515,Patience,train,040_010_004
516,Copy,train,060_004_004
517,Catch,train,055_008_005
518,Light-blue,train,006_003_003
520,Where,train,028_003_001
521,Water,train,022_004_003
522,Yogurt,train,049_001_004
523,Breakfast,train,031_002_005
524,Copy,train,060_005_002
525,Name,train,039_006_002
526,Breakfast,train,031_008_001
527,Light-blue,train,006_001_002
528,Trap,train,043_003_003
529,Argentina,train,024_008_004
530,Deaf,train,042_001_001
531,Ship,train,037_009_001
532,Green,train,003_002_003
533,Deaf,train,042_010_005
534,Photo,train,032_003_005
535,Last name,train,027_006_005
536,Bathe,train,058_004_001
537,Copy,train,060_002_003
538,Food,train,023_002_001
539,Birthday,train,030_005_005
540,Realize,train,062_007_005
541,Copy,train,060_003_001
542,Away,train,013_009_001
543,Son,train,011_007_004
544,Man,train,012_003_004
545,Water,train,022_008_003
546,Skimmer,train,018_004_004
547,Name,train,039_010_001
548,Bright,train,005_010_003
549,Buy,train,059_001_001
550,Give,train,063_010_003
551,Hungry,train,033_005_003
552,Colors,train,007_002_003
553,Skimmer,train,018_007_004
554,Trap,train,043_006_004
555,Buy,train,059_008_001
556,Birthday,train,030_001_002
557,Realize,train,062_006_002
558,Opaque,train,001_002_004
559,Opaque,train,001_008_004
560,Hungry,train,033_003_005
561,Thanks,train,051_009_004
562,Sweet milk,train,020_005_003
563,Man,train,012_010_001
564,Bathe,train,058_002_002
565,Urugauy,train,025_003_001
566,Patience,train,040_006_003
567,Skimmer,train,018_006_004
568,Find,train,064_001_003
569,Where,train,028_006_001
570,Thanks,train,051_005_005
571,Skimmer,train,018_001_005
572,Breakfast,train,031_003_003
573,Light-blue,train,006_001_005
574,Colors,train,007_001_005
575,Realize,train,062_003_004
576,Catch,train,055_009_005
577,Perfume,train,041_003_002
578,Learn,train,016_002_001
579,Man,train,012_007_001
580,Colors,train,007_003_001
581,Rice,train,044_006_002
582,Breakfast,train,031_009_005
583,Run,train,061_008_005
584,Run,train,061_004_003
585,Skimmer,train,018_006_003
586,Chewing-gum,train,047_009_001
587,Food,train,023_007_001
588,Perfume,train,041_009_005
589,Rice,train,044_008_001
590,To land,train,054_010_001
591,Spaghetti,train,048_010_001
592,Learn,train,016_007_004
593,Catch,train,055_008_001
594,Photo,train,032_003_001
595,Red2,train,008_008_001
596,Son,train,011_004_004
597,Coin,train,035_003_004
598,Map,train,034_005_002
599,Trap,train,043_005_003
600,Red2,train,008_008_004
601,Run,train,061_009_004
602,Thanks,train,051_001_001
603,Where,train,028_004_001
604,To land,train,054_002_004
605,Man,train,012_009_002
606,Appear,train,053_003_004
607,Dance,train,057_002_002
608,Call,train,017_007_002
609,Skimmer,train,018_003_001
610,Sweet milk,train,020_003_003
611,Breakfast,train,031_010_005
612,Red,train,002_010_001
613,Shut down,train,052_006_001
614,Catch,train,055_008_003
615,Argentina,train,024_008_005
616,Music,train,036_002_004
617,Appear,train,053_010_005
618,Help,train,056_005_001
619,Music,train,036_004_004
620,Breakfast,train,031_002_004
621,Candy,train,046_007_001
622,Realize,train,062_003_002
623,Barbecue,train,045_004_003
624,Catch,train,055_010_001
625,Buy,train,059_010_002
626,Birthday,train,030_010_001
627,Buy,train,059_009_005
628,Urugauy,train,025_010_004
629,Run,train,061_003_002
630,Red2,train,008_002_002
631,Name,train,039_007_004
632,Run,train,061_005_005
633,Run,train,061_004_001
634,Yogurt,train,049_005_004
635,Chewing-gum,train,047_003_004
636,Bright,train,005_008_004
637,Candy,train,046_006_004
638,Thanks,train,051_005_004
639,Sweet milk,train,020_001_003
640,Hungry,train,033_004_005
641,Realize,train,062_008_001
642,Call,train,017_010_004
643,Catch,train,055_008_004
644,Yogurt,train,049_005_002
645,Photo,train,032_005_003
646,Thanks,train,051_002_001
647,Catch,train,055_001_004
648,Colors,train,007_010_004
649,Away,train,013_003_002
650,Call,train,017_006_001
651,Catch,train,055_004_001
652,Deaf,train,042_004_003
653,Realize,train,062_010_005
654,Country,train,026_010_005
655,Deaf,train,042_007_004
656,Red2,train,008_006_001
657,Milk,train,021_006_003
658,Water,train,022_001_003
659,Milk,train,021_002_002
660,Patience,train,040_006_004
661,Argentina,train,024_004_005
662,Green,train,003_007_005
663,Mock,train,029_006_002
664,Skimmer,train,018_009_005
665,Born,train,015_002_002
666,Map,train,034_009_001
667,Trap,train,043_002_001
668,Appear,train,053_001_004
669,Run,train,061_006_004
670,Away,train,013_003_003
671,Born,train,015_009_003
672,Water,train,022_003_005
673,Ship,train,037_006_002
674,Yellow,train,004_007_005
675,Red,train,002_002_002
676,Candy,train,046_004_004
677,Call,train,017_003_003
678,Appear,train,053_003_002
679,Where,train,028_009_001
680,Copy,train,060_001_003
681,Yogurt,train,049_003_004
682,Country,train,026_005_003
683,Food,train,023_004_003
684,Son,train,011_007_003
685,Find,train,064_007_001
686,Spaghetti,train,048_007_004
688,Name,train,039_004_001
689,Enemy,train,010_004_005
690,Shut down,train,052_010_003
691,Realize,train,062_010_003
692,Ship,train,037_005_002
693,Ship,train,037_007_001
694,Urugauy,train,025_010_005
695,Red2,train,008_002_003
696,Spaghetti,train,048_002_002
697,Opaque,train,001_009_005
698,Appear,train,053_002_005
699,Milk,train,021_008_003
700,Food,train,023_010_004
701,Country,train,026_005_001
702,Country,train,026_007_004
703,Colors,train,007_004_005
704,Green,train,003_005_001
705,Appear,train,053_004_003
706,Last name,train,027_002_005
707,Accept,train,050_006_003
708,Bitter,train,019_004_005
709,Give,train,063_004_002
710,Mock,train,029_003_002
711,Sweet milk,train,020_006_003
712,Sweet milk,train,020_001_002
713,Water,train,022_001_005
714,Colors,train,007_010_005
715,Women,train,009_003_004
716,Women,train,009_005_005
717,Ship,train,037_001_002
718,Sweet milk,train,020_008_001
719,Drawer,train,014_004_003
720,Argentina,train,024_005_005
721,Give,train,063_010_001
722,Music,train,036_005_003
723,Sweet milk,train,020_010_002
724,Realize,train,062_006_005
725,Drawer,train,014_005_002
726,Born,train,015_001_004
727,Map,train,034_008_003
728,Call,train,017_009_003
729,Trap,train,043_009_004
730,Perfume,train,041_007_002
731,Food,train,023_005_002
732,Enemy,train,010_002_001
733,Hungry,train,033_006_003
734,Sweet milk,train,020_004_003
735,Last name,train,027_001_004
736,Food,train,023_007_002
738,Born,train,015_005_002
739,Appear,train,053_003_001
740,Bathe,train,058_001_004
741,Coin,train,035_010_001
742,Birthday,train,030_007_004
743,Thanks,train,051_009_001
744,Bathe,train,058_004_002
745,Catch,train,055_003_004
746,Appear,train,053_002_002
747,Mock,train,029_010_003
748,Map,train,034_010_002
749,Born,train,015_004_004
750,Bathe,train,058_003_002
751,Thanks,train,051_001_003
752,Breakfast,train,031_008_002
753,Bitter,train,019_004_004
754,Argentina,train,024_007_004
755,Deaf,train,042_010_002
756,Opaque,train,001_001_002
757,Food,train,023_002_005
758,Trap,train,043_005_002
759,Find,train,064_009_002
760,Man,train,012_008_002
761,Urugauy,train,025_009_005
762,Patience,train,040_003_003
763,Enemy,train,010_009_005
764,Find,train,064_001_001
765,Ship,train,037_004_002
766,Help,train,056_005_004
767,Son,train,011_008_004
768,Opaque,train,001_009_004
769,To land,train,054_007_005
770,Country,train,026_006_003
771,Appear,train,053_009_005
772,Give,train,063_007_005
773,Milk,train,021_006_002
774,Give,train,063_001_002
775,Red2,train,008_007_004
776,Dance,train,057_003_005
777,Call,train,017_010_003
778,Water,train,022_009_004
779,Rice,train,044_006_003
780,Patience,train,040_006_002
781,Hungry,train,033_001_002
782,Copy,train,060_006_005
783,Coin,train,035_004_001
784,Appear,train,053_003_003
785,Dance,train,057_005_001
786,Bathe,train,058_007_001
787,Spaghetti,train,048_010_004
788,Learn,train,016_004_005
789,Urugauy,train,025_010_001
790,Argentina,train,024_008_001
791,To land,train,054_002_002
792,Argentina,train,024_001_005
793,Opaque,train,001_005_004
794,Trap,train,043_007_003
795,Yellow,train,004_003_003
796,Coin,train,035_009_004
797,Green,train,003_001_005
798,Bright,train,005_005_002
799,Catch,train,055_004_005
800,Food,train,023_002_003
801,Accept,train,050_001_005
802,Water,train,022_001_001
803,Yellow,train,004_001_004
804,Ship,train,037_009_004
806,Bathe,train,058_004_004
807,Buy,train,059_007_001
808,To land,train,054_009_001
809,Red2,train,008_010_001
810,Yellow,train,004_008_002
811,Born,train,015_010_002
812,Mock,train,029_005_001
813,Son,train,011_005_003
814,Hungry,train,033_002_004
815,Women,train,009_003_005
816,Realize,train,062_007_004
817,Breakfast,train,031_002_001
818,Birthday,train,030_004_004
819,Appear,train,053_006_004
820,Last name,train,027_008_001
821,Where,train,028_001_001
822,Photo,train,032_006_001
823,Birthday,train,030_003_002
824,Help,train,056_001_002
825,Bitter,train,019_010_003
826,Barbecue,train,045_004_005
827,Drawer,train,014_006_001
828,Accept,train,050_001_004
829,Where,train,028_006_003
830,Bright,train,005_005_004
831,Deaf,train,042_010_003
832,Light-blue,train,006_002_005
833,Perfume,train,041_010_004
834,Ship,train,037_005_004
835,Call,train,017_007_005
836,Red,train,002_010_004
837,Sweet milk,train,020_002_001
838,Drawer,train,014_010_005
839,Green,train,003_010_005
840,Sweet milk,train,020_004_004
841,Photo,train,032_003_003
842,To land,train,054_002_003
843,Skimmer,train,018_004_005
844,Man,train,012_007_004
845,Man,train,012_006_003
846,Shut down,train,052_009_001
847,Skimmer,train,018_009_003
848,Photo,train,032_005_004
849,Barbecue,train,045_005_003
850,Man,train,012_008_003
851,Drawer,train,014_002_002
852,Skimmer,train,018_003_004
853,Drawer,train,014_007_005
854,Light-blue,train,006_002_002
855,Rice,train,044_009_005
856,Red,train,002_008_003
857,Map,train,034_003_003
858,Enemy,train,010_004_004
859,Mock,train,029_001_005
860,Hungry,train,033_010_002
861,Dance,train,057_001_002
862,Learn,train,016_004_002
863,Patience,train,040_005_002
864,Give,train,063_005_002
865,Coin,train,035_004_003
866,Enemy,train,010_005_001
867,Coin,train,035_008_001
868,Ship,train,037_004_004
869,Ship,train,037_003_002
870,Water,train,022_010_005
871,Deaf,train,042_001_002
872,Country,train,026_007_003
873,Appear,train,053_009_002
874,Milk,train,021_010_002
875,To land,train,054_004_001
876,Born,train,015_007_003
877,Bitter,train,019_003_005
878,Accept,train,050_004_004
880,Urugauy,train,025_002_002
881,Drawer,train,014_003_002
882,Perfume,train,041_009_001
883,Enemy,train,010_010_005
884,Born,train,015_002_004
885,Sweet milk,train,020_006_001
886,Dance,train,057_009_005
887,Give,train,063_003_004
889,Birthday,train,030_001_001
890,Chewing-gum,train,047_007_002
891,Spaghetti,train,048_003_004
892,Man,train,012_004_001
893,Mock,train,029_001_001
894,Music,train,036_003_001
895,Water,train,022_005_001
897,Find,train,064_001_004
898,Coin,train,035_008_002
899,Red2,train,008_010_005
900,Candy,train,046_002_002
901,Red,train,002_004_003
902,Food,train,023_003_005
903,Coin,train,035_006_001
904,Rice,train,044_001_002
905,Spaghetti,train,048_004_004
906,Help,train,056_007_005
907,Spaghetti,train,048_002_004
908,Red2,train,008_008_005
909,Mock,train,029_006_003
910,Country,train,026_002_001
911,Women,train,009_001_004
912,Sweet milk,train,020_001_004
913,Dance,train,057_004_002
914,Name,train,039_009_003
915,Red,train,002_004_004
916,Man,train,012_010_005
917,Mock,train,029_010_001
918,Bitter,train,019_009_005
919,Red,train,002_008_005
920,Spaghetti,train,048_001_004
921,Barbecue,train,045_002_003
922,Call,train,017_004_005
923,Bathe,train,058_006_001
924,Music,train,036_006_004
925,Coin,train,035_002_001
926,Give,train,063_007_002
927,Birthday,train,030_002_004
928,Coin,train,035_001_004
929,Patience,train,040_007_005
930,Milk,train,021_002_004
931,To land,train,054_007_002
932,Call,train,017_009_002
933,Trap,train,043_007_005
934,Birthday,train,030_003_004
935,Rice,train,044_004_002
936,Women,train,009_010_004
937,Appear,train,053_006_003
938,Red2,train,008_001_003
939,Milk,train,021_001_005
940,Green,train,003_009_001
941,Music,train,036_004_005
942,Milk,train,021_009_004
943,Red,train,002_006_005
944,Name,train,039_006_003
945,Patience,train,040_009_003
946,To land,train,054_001_005
947,Bright,train,005_005_005
948,Perfume,train,041_010_001
949,Son,train,011_003_005
950,Red2,train,008_004_004
951,Light-blue,train,006_006_004
952,Country,train,026_009_003
953,Shut down,train,052_002_001
954,Water,train,022_002_003
955,Copy,train,060_001_005
956,Spaghetti,train,048_004_003
957,Help,train,056_006_001
958,Thanks,train,051_006_001
959,Red,train,002_004_002
960,Milk,train,021_004_003
961,Run,train,061_002_002
962,Sweet milk,train,020_002_005
963,Son,train,011_005_001
964,Help,train,056_001_004
965,Food,train,023_007_005
966,Skimmer,train,018_004_001
967,Map,train,034_009_005
968,Dance,train,057_007_005
969,Catch,train,055_006_002
970,Help,train,056_008_001
971,Barbecue,train,045_006_004
972,Hungry,train,033_009_004
973,Breakfast,train,031_007_001
974,Barbecue,train,045_001_002
975,Urugauy,train,025_008_002
976,Barbecue,train,045_009_002
977,Skimmer,train,018_002_005
978,Shut down,train,052_005_002
979,Photo,train,032_004_001
980,Map,train,034_008_005
981,Light-blue,train,006_003_004
982,Breakfast,train,031_005_005
983,Run,train,061_008_004
984,Dance,train,057_010_002
985,Red2,train,008_003_004
986,Music,train,036_007_005
987,Drawer,train,014_008_003
988,Milk,train,021_003_001
989,Copy,train,060_006_003
990,To land,train,054_007_003
991,Barbecue,train,045_002_004
992,Give,train,063_008_005
993,Water,train,022_004_004
